fichier;nature;numéro;date;année;sens;extrait
CONSTEXT000017664353.xml;DC04;2000-441;2000-12-28;2000;Non conformité partielle;
CONSTEXT000017664354.xml;DC04;2000-442;2000-12-28;2000;Non conformité partielle;
CONSTEXT000017664355.xml;DC05;2000-1;2000-01-27;2000;Conformité;
CONSTEXT000017664368.xml;REF-prepa;2000-21;2000-07-25;2000;Rejet;
CONSTEXT000017664370.xml;REF-prepa;2000-23;2000-08-23;2000;Rejet;
CONSTEXT000017664371.xml;REF-prepa;2000-26;2000-09-06;2000;Rejet; référendum ,# 3° du décret n° 2000-731 du 1er août 2000 étendant certaines dispositions pénales du code électoral aux opérations de référendum ,# 4° du décret n° 2000-835 du 31 août 2000 fixant pour les territ
CONSTEXT000017664373.xml;REF-prepa;2000-28;2000-09-11;2000;Rejet;u décret attaqué rend notamment applicable au déroulement des opérations de vote l'article L. 61 du code électoral aux termes duquel : "L' entrée dans l'assemblée électorale avec des armes est interdite" , que,
CONSTEXT000017664376.xml;AN;2001-2589;2001-05-09;2001;Rejet;° 58-1067 du 7 novembre 1958 modifiée portant loi organique sur le Conseil constitutionnel ,# Vu le code électoral ,# Vu le règlement applicable à la procédure suivie devant le Conseil constitutionnel pour le c
CONSTEXT000017664388.xml;DC04;2001-446;2001-06-27;2001;Conformité;
CONSTEXT000017664389.xml;DC04;2001-447;2001-07-18;2001;Conformité;
CONSTEXT000017664400.xml;DC04;2000-426;2000-03-30;2000;Non conformité partielle;t ainsi que celui des inéligibilités. Il en résulte que le nouvel article LO 141, introduit dans le code électoral par l'article 3 de la loi organique soumise en même temps au Conseil constitutionnel, ne peut a
CONSTEXT000017664401.xml;DC04;2000-428;2000-05-04;2000;Non conformité partielle; sur le Conseil constitutionnel, notamment le chapitre II du titre II de ladite ordonnance ,# Vu le code électoral ,# Vu le mémoire ampliatif présenté par Monsieur Henry JEAN-BAPTISTE, député, enregistré le 12 
CONSTEXT000017664402.xml;DC04;2000-429;2000-05-30;2000;Non conformité partielle;e comme visant la référence qui y est faite, dans les motifs, au seuil prévu par l'article L 252 du code électoral en matière de mode de scrutin municipal, la conformité de l'article 1er à la Constitution ne pa
CONSTEXT000017664405.xml;DC04;2000-433;2000-07-27;2000;Non conformité partielle;
CONSTEXT000017664406.xml;DC04;2000-434;2000-07-20;2000;Non conformité partielle;
CONSTEXT000017664407.xml;DC04;2000-435;2000-12-07;2000;Non conformité partielle;
CONSTEXT000017664408.xml;DC04;2000-436;2000-12-07;2000;Non conformité partielle;
CONSTEXT000017664409.xml;DC04;2000-437;2000-12-19;2000;Non conformité partielle;
CONSTEXT000017664410.xml;DC04;2000-439;2001-01-16;2001;Conformité;
CONSTEXT000017664411.xml;DC04;2000-440;2001-01-10;2001;Conformité;
CONSTEXT000017664413.xml;ELEC-prepaSEN;2001-18;2001-09-20;2001;Rejet;el le 18 septembre 2001 ,# Vu la Constitution, notamment ses articles 13, 21, 24, 59 et 61 ,# Vu le code électoral ,# Vu l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitut
CONSTEXT000017664423.xml;SEN;2001-2594/2595/2596;2001-11-08;2001;Rejet;o 58-1067 du 7 novembre 1958 modifiée portant loi organique sur le Conseil constitutionnel ,# Vu le code électoral , Vu le règlement applicable à la procédure suivie devant le Conseil constitutionnel pour le co
